Time, Counts, Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
14:55:43, 18, 104.87, 1000.84, 19.75, 19.44
14:56:43, 12, 105.25, 1000.76, 19.75, 19.44
14:57:44, 13, 105.37, 1000.85, 19.75, 19.50
14:58:44, 18, 105.37, 1000.80, 19.75, 19.50
14:59:45, 15, 105.06, 1000.80, 19.75, 19.50
15:0:45, 12, 105.25, 1000.85, 19.75, 19.50
15:1:46, 16, 105.81, 1000.84, 19.75, 19.50
15:2:46, 11, 105.37, 1000.84, 19.75, 19.50
15:3:47, 13, 104.69, 1000.84, 20.00, 19.56
15:4:47, 24, 105.06, 1000.90, 20.00, 19.56
15:5:48, 21, 104.44, 1000.90, 20.00, 19.56
15:6:48, 16, 104.69, 1000.89, 20.00, 19.62
15:7:49, 21, 104.19, 1000.93, 20.00, 19.62
15:8:49, 21, 104.87, 1000.82, 20.00, 19.62
15:9:50, 18, 104.56, 1000.91, 20.00, 19.69
15:10:51, 12, 104.44, 1000.95, 20.00, 19.69
15:11:51, 22, 104.00, 1000.93, 20.00, 19.69
15:12:52, 23, 104.50, 1000.89, 20.00, 19.75
15:13:52, 17, 104.56, 1000.94, 20.00, 19.69
15:14:53, 22, 104.12, 1000.96, 20.00, 19.75
15:15:53, 5, 104.50, 1000.90, 20.00, 19.75
15:16:54, 17, 105.19, 1000.86, 20.00, 19.75
15:17:54, 14, 105.25, 1000.82, 20.00, 19.75
15:18:55, 19, 105.56, 1000.75, 20.00, 19.75
15:19:55, 22, 105.00, 1000.83, 20.00, 19.81
15:20:56, 19, 105.56, 1000.78, 20.25, 19.81
15:21:56, 11, 106.06, 1000.76, 20.25, 19.81
15:22:57, 12, 105.69, 1000.80, 20.25, 19.81
15:23:57, 17, 105.69, 1000.80, 20.25, 19.87
15:24:58, 10, 105.37, 1000.82, 20.25, 19.87
15:25:59, 19, 105.62, 1000.80, 20.25, 19.87
15:26:59, 24, 105.37, 1000.84, 20.25, 19.87
15:28:0, 13, 105.06, 1000.82, 20.25, 19.94
15:29:0, 14, 105.12, 1000.84, 20.25, 19.87
15:30:1, 24, 105.37, 1000.85, 20.25, 19.94
15:31:1, 25, 104.31, 1000.91, 20.25, 19.94
15:32:2, 20, 104.75, 1000.89, 20.25, 19.94
15:33:2, 22, 105.12, 1000.89, 20.25, 19.87
15:34:3, 22, 104.94, 1000.90, 20.25, 19.87
15:35:3, 14, 104.31, 1000.89, 20.25, 19.87
15:36:4, 25, 104.44, 1000.94, 20.25, 19.81
15:37:4, 17, 104.44, 1000.94, 20.25, 19.87
15:38:5, 20, 104.44, 1000.93, 20.25, 19.81
15:39:5, 15, 104.19, 1000.95, 20.25, 19.81
15:40:6, 13, 104.19, 1000.85, 20.25, 19.81
15:41:6, 22, 104.75, 1000.90, 20.25, 19.81
15:42:7, 14, 104.31, 1000.93, 20.25, 19.81
15:43:8, 23, 104.37, 1000.94, 20.25, 19.81
15:44:8, 21, 104.31, 1000.88, 20.25, 19.81
15:45:9, 11, 104.62, 1000.84, 20.25, 19.81
15:46:9, 14, 104.19, 1000.91, 20.25, 19.81
15:47:10, 21, 105.00, 1000.83, 20.25, 19.81
15:48:10, 16, 105.37, 1000.85, 20.25, 19.81
15:49:11, 25, 105.56, 1000.81, 20.25, 19.81
15:50:11, 17, 105.25, 1000.83, 20.25, 19.87
15:51:12, 15, 105.00, 1000.88, 20.25, 19.87
15:52:12, 20, 104.44, 1000.88, 20.25, 19.87
15:53:13, 17, 104.62, 1000.87, 20.25, 19.87
15:54:13, 16, 104.75, 1000.91, 20.25, 19.87
15:55:14, 15, 104.69, 1000.87, 20.25, 19.87
15:56:14, 14, 104.19, 1000.99, 20.25, 19.87
15:57:15, 22, 104.37, 1000.90, 20.25, 19.87
15:58:15, 17, 104.00, 1000.94, 20.25, 19.87
15:59:16, 16, 104.69, 1000.92, 20.25, 19.94
16:0:17, 17, 104.81, 1000.92, 20.25, 19.94
16:1:17, 20, 104.81, 1000.91, 20.25, 20.00
16:2:18, 17, 104.50, 1000.96, 20.25, 20.06
16:3:18, 20, 104.69, 1000.94, 20.50, 20.06
16:4:19, 18, 104.44, 1000.94, 20.50, 20.12
16:5:19, 19, 104.00, 1000.90, 20.50, 20.19
16:6:20, 19, 104.62, 1000.90, 20.50, 20.25
16:7:20, 16, 104.75, 1000.86, 20.50, 20.25
16:8:21, 15, 104.31, 1000.92, 20.75, 20.31
16:9:21, 17, 104.31, 1000.92, 20.75, 20.31
16:10:22, 16, 103.94, 1000.99, 20.75, 20.31
16:11:22, 16, 103.69, 1001.01, 20.75, 20.31
16:12:23, 20, 103.69, 1000.89, 20.50, 20.31
16:13:23, 14, 103.31, 1001.05, 20.50, 20.31
16:14:24, 16, 103.19, 1001.01, 20.50, 20.25
16:15:24, 17, 103.00, 1001.03, 20.50, 20.25
16:16:25, 18, 103.69, 1000.98, 20.50, 20.19
16:17:26, 15, 103.62, 1001.03, 20.50, 20.19
16:18:26, 25, 103.50, 1001.04, 20.50, 20.12
16:19:27, 25, 103.56, 1001.06, 20.50, 20.12
16:20:27, 14, 103.75, 1001.02, 20.50, 20.12
16:21:28, 15, 103.81, 1000.99, 20.50, 20.06
16:22:28, 20, 102.44, 1001.16, 20.50, 20.06
16:23:29, 14, 102.31, 1001.21, 20.50, 20.06
16:24:29, 17, 102.31, 1001.23, 20.50, 20.06
16:25:30, 12, 102.62, 1001.16, 20.50, 20.06
16:26:30, 24, 102.69, 1001.13, 20.50, 20.00
16:27:31, 12, 101.87, 1001.26, 20.50, 20.00
16:28:31, 14, 100.06, 1001.41, 20.50, 20.00
16:29:32, 20, 98.31, 1001.66, 20.50, 20.00
16:30:32, 14, 98.81, 1001.64, 20.50, 20.00
16:31:33, 14, 98.81, 1001.62, 20.50, 20.00
16:32:33, 21, 97.62, 1001.78, 20.50, 20.00
